"state","pincode","year","quarter","rank","count","amount"
"karnataka","560068","2022","2",NULL,"2692","3077564"
"telangana","502032","2024","4",NULL,"1586","3073480"
"karnataka","560066","2023","3",NULL,"2012","3072523"
"telangana","500072","2024","2",NULL,"1966","3066397"
"haryana","122001","2023","3",NULL,"2457","3051171"
"uttar-pradesh","201301","2024","2",NULL,"2172","3036110"
"madhya-pradesh","452001","2024","3",NULL,"1801","3028209"
"uttar-pradesh","244001","2024","4",NULL,"1936","3025426"
"karnataka","560066","2023","4",NULL,"2041","3001699"
"uttar-pradesh","201318","2024","1",NULL,"1574","2959887"
"haryana","122001","2023","2",NULL,"2154","2955207"
"karnataka","560103","2024","2",NULL,"1865","2933626"
"karnataka","560068","2022","1",NULL,"2349","2922542"
"karnataka","560078","2023","1",NULL,"2018","2904918"
"delhi","110092","2024","4",NULL,"2110","2884526"
"karnataka","560078","2023","2",NULL,"2051","2883618"
"telangana","502032","2024","3",NULL,"1403","2879218"
"maharashtra","410206","2024","4",NULL,"1852","2865016"
"karnataka","560100","2023","3",NULL,"2147","2864673"
"rajasthan","302012","2024","1",NULL,"1492","2844766"
"chhattisgarh","492001","2024","4",NULL,"1612","2838238"
"karnataka","560066","2023","2",NULL,"1761","2827168"
"maharashtra","411057","2023","3",NULL,"2098","2821693"
"uttar-pradesh","201318","2023","4",NULL,"1572","2803751"
"uttar-pradesh","201318","2024","3",NULL,"1618","2803537"
"maharashtra","410206","2024","1",NULL,"1642","2789761"
"delhi","110059","2024","2",NULL,"1894","2783459"
"delhi","110059","2024","3",NULL,"1997","2779253"
"haryana","123401","2024","4",NULL,"1828","2764894"
"karnataka","560058","2024","1",NULL,"2138","2762399"
"maharashtra","411057","2023","1",NULL,"1914","2708878"
"uttar-pradesh","250001","2023","4",NULL,"1430","2696948"
"maharashtra","411014","2024","4",NULL,"1536","2694545"
"jharkhand","834001","2024","4",NULL,"1671","2693199"
"maharashtra","411033","2024","1",NULL,"1748","2676682"
"delhi","110044","2024","4",NULL,"2103","2671177"
"karnataka","560091","2024","2",NULL,"1686","2655650"
"telangana","500090","2024","3",NULL,"1406","2649085"
"karnataka","560103","2023","2",NULL,"1790","2635489"
"uttar-pradesh","201009","2024","1",NULL,"1787","2629325"
"uttar-pradesh","201301","2023","3",NULL,"2320","2626339"
"uttar-pradesh","201318","2024","2",NULL,"1365","2625516"
"uttar-pradesh","250001","2024","4",NULL,"1370","2619816"
"uttar-pradesh","250001","2024","1",NULL,"1420","2617128"
"karnataka","560037","2022","3",NULL,"2120","2606805"
"karnataka","560103","2023","3",NULL,"1956","2606778"
"bihar","800001","2024","4",NULL,"1839","2605774"
"haryana","122006","2024","4",NULL,"1781","2600616"
"karnataka","560064","2023","3",NULL,"1793","2600219"
"rajasthan","302012","2024","2",NULL,"1540","2600098"
"haryana","121004","2024","1",NULL,"1820","2595411"
"telangana","500072","2022","3",NULL,"2176","2594114"
"delhi","110094","2024","4",NULL,"2049","2591430"
"maharashtra","411033","2023","4",NULL,"1635","2582879"
"maharashtra","411057","2023","2",NULL,"1944","2581267"
"uttar-pradesh","201301","2023","1",NULL,"2080","2580701"
"haryana","122001","2022","4",NULL,"2037","2580157"
"delhi","110043","2024","4",NULL,"1635","2579635"
"telangana","500081","2024","2",NULL,"1516","2573675"
"karnataka","560043","2022","3",NULL,"2030","2571392"
"telangana","502032","2023","4",NULL,"1402","2566288"
"karnataka","560091","2023","1",NULL,"1849","2563988"
"maharashtra","421302","2024","4",NULL,"2204","2563723"
"uttar-pradesh","201009","2024","3",NULL,"1769","2554328"
"haryana","121004","2024","3",NULL,"1712","2546658"
"delhi","110086","2024","4",NULL,"2071","2533106"
"rajasthan","302012","2023","4",NULL,"1482","2523355"
"haryana","122001","2023","1",NULL,"2018","2513445"
"tamil-nadu","600100","2024","4",NULL,"1563","2511148"
"karnataka","560100","2023","2",NULL,"1843","2510992"
"delhi","110059","2023","1",NULL,"1796","2506005"
"maharashtra","411057","2022","4",NULL,"1899","2503539"
"telangana","500049","2024","3",NULL,"1304","2492280"
"karnataka","560076","2022","3",NULL,"1945","2478555"
"karnataka","560064","2023","1",NULL,"1679","2473845"
"telangana","500032","2023","4",NULL,"1434","2473246"
"karnataka","560091","2022","4",NULL,"1951","2472172"
"uttar-pradesh","201009","2023","4",NULL,"1764","2457305"
"telangana","500032","2024","1",NULL,"1450","2447244"
"telangana","500049","2024","4",NULL,"1472","2441473"
"uttar-pradesh","244001","2024","3",NULL,"1637","2429001"
"uttar-pradesh","201102","2024","4",NULL,"1871","2422554"
"uttar-pradesh","201301","2023","2",NULL,"1992","2418828"
"karnataka","560058","2023","4",NULL,"1860","2418724"
"delhi","110059","2022","4",NULL,"1982","2407623"
"delhi","110085","2024","4",NULL,"1600","2406049"
"karnataka","560064","2023","2",NULL,"1563","2404087"
"karnataka","560043","2022","1",NULL,"1713","2402868"
"telangana","500081","2024","1",NULL,"1577","2401770"
"uttar-pradesh","201301","2022","4",NULL,"2193","2399892"
"maharashtra","421302","2023","4",NULL,"1992","2396959"
"madhya-pradesh","452010","2024","4",NULL,"1394","2386628"
"telangana","502032","2024","2",NULL,"1252","2385381"
"delhi","110092","2024","1",NULL,"1716","2379116"
"madhya-pradesh","452016","2024","4",NULL,"1202","2377995"
"delhi","110059","2023","3",NULL,"2047","2377598"
"delhi","110041","2024","4",NULL,"1766","2371739"
"karnataka","560064","2022","4",NULL,"1771","2371094"
"karnataka","560100","2023","1",NULL,"1860","2368777"
"karnataka","560100","2022","4",NULL,"1940","2354073"
"uttar-pradesh","244001","2024","2",NULL,"1427","2352525"
"maharashtra","411014","2024","2",NULL,"1321","2340015"
"delhi","110059","2023","2",NULL,"1748","2338495"
"telangana","500008","2024","4",NULL,"1264","2336819"
"maharashtra","410206","2023","4",NULL,"1523","2335436"
"maharashtra","411014","2023","4",NULL,"1435","2325924"
"maharashtra","411033","2024","3",NULL,"1500","2325813"
"maharashtra","410206","2024","2",NULL,"1245","2314637"
"haryana","122002","2024","4",NULL,"1563","2311409"
"maharashtra","411033","2024","2",NULL,"1346","2310327"
"telangana","500032","2024","2",NULL,"1305","2309301"
"uttar-pradesh","250001","2024","2",NULL,"1273","2303859"
"uttar-pradesh","244001","2024","1",NULL,"1445","2300436"
"maharashtra","411014","2024","3",NULL,"1216","2297301"
"uttar-pradesh","201307","2023","4",NULL,"1173","2293593"
"delhi","110084","2024","4",NULL,"1665","2287006"
"telangana","500081","2023","4",NULL,"1632","2281247"
"haryana","121004","2023","4",NULL,"1608","2280862"
"haryana","122006","2023","4",NULL,"1540","2280572"
"maharashtra","410206","2024","3",NULL,"1274","2276353"
"bihar","800001","2024","3",NULL,"1838","2276161"
"karnataka","560058","2022","4",NULL,"1998","2274976"
"uttar-pradesh","201318","2023","2",NULL,"1300","2273854"
"uttar-pradesh","201009","2024","2",NULL,"1580","2260633"
"maharashtra","411014","2023","2",NULL,"1667","2260529"
"karnataka","560058","2023","3",NULL,"1930","2252913"
"maharashtra","421302","2022","4",NULL,"2085","2245940"
"karnataka","560078","2022","3",NULL,"1912","2228186"
"haryana","123401","2024","1",NULL,"1447","2224599"
"maharashtra","421302","2024","1",NULL,"1926","2219144"
"delhi","110043","2023","4",NULL,"1455","2202398"
"karnataka","560066","2023","1",NULL,"1688","2198417"
"uttar-pradesh","250001","2023","3",NULL,"1378","2186303"
"haryana","123401","2023","4",NULL,"1180","2185547"
"rajasthan","302020","2024","4",NULL,"1287","2184519"
"uttar-pradesh","201318","2023","3",NULL,"1555","2184498"
"uttar-pradesh","201009","2023","1",NULL,"1659","2183013"
"delhi","110092","2024","3",NULL,"1661","2181955"
"karnataka","560076","2022","1",NULL,"1718","2181826"
"karnataka","560043","2022","2",NULL,"1755","2171198"
"telangana","500090","2024","1",NULL,"1137","2169121"
"haryana","122006","2024","1",NULL,"1493","2163779"
"delhi","110092","2023","4",NULL,"1686","2155091"
"jharkhand","834001","2024","3",NULL,"1553","2153189"
"uttar-pradesh","244001","2023","2",NULL,"1674","2147811"
"karnataka","560058","2023","1",NULL,"1931","2145047"
"karnataka","560076","2022","2",NULL,"1835","2129897"
"telangana","500032","2024","4",NULL,"1263","2124253"
"haryana","122006","2024","3",NULL,"1545","2122754"
"maharashtra","411014","2024","1",NULL,"1361","2122478"
"telangana","500090","2024","2",NULL,"1055","2116300"
"delhi","110044","2024","1",NULL,"1553","2116182"
"bihar","800001","2024","2",NULL,"1449","2116116"
"telangana","500072","2022","2",NULL,"1794","2115388"
"delhi","110085","2024","3",NULL,"1199","2114775"
"uttar-pradesh","250001","2024","3",NULL,"1273","2110213"
"rajasthan","302029","2024","4",NULL,"1295","2108552"
"karnataka","560078","2022","2",NULL,"1844","2105323"
"telangana","500090","2023","4",NULL,"1162","2094937"
"haryana","122002","2024","3",NULL,"1482","2094086"
"delhi","110092","2024","2",NULL,"1415","2078942"
"haryana","121003","2023","4",NULL,"1511","2075904"
"karnataka","560066","2022","4",NULL,"1642","2074882"
"telangana","500050","2023","4",NULL,"1183","2071352"
"bihar","800001","2023","4",NULL,"1458","2069004"
"haryana","121003","2024","1",NULL,"1600","2067243"
"karnataka","560091","2022","1",NULL,"1656","2065687"
"uttarakhand","248001","2024","4",NULL,"1120","2065528"
"haryana","121004","2024","2",NULL,"1529","2065332"
"delhi","110085","2023","4",NULL,"1406","2064483"
"telangana","502032","2024","1",NULL,"1320","2054554"
"haryana","122002","2024","1",NULL,"1317","2052922"
"karnataka","560037","2022","2",NULL,"1860","2052163"
"uttar-pradesh","201009","2023","3",NULL,"1763","2044544"
"haryana","121102","2024","4",NULL,"1250","2042046"
"tamil-nadu","600100","2024","3",NULL,"1442","2039148"
"chhattisgarh","492001","2024","3",NULL,"1241","2032390"
"rajasthan","302020","2024","3",NULL,"1194","2022371"
"maharashtra","410206","2023","1",NULL,"1421","2021889"
"rajasthan","302017","2024","4",NULL,"1131","2020724"
"telangana","500008","2023","4",NULL,"1094","2019954"
"telangana","500008","2024","1",NULL,"1140","2013858"
"uttar-pradesh","201009","2022","4",NULL,"1563","2008963"
"bihar","800001","2023","3",NULL,"1838","2006880"
"rajasthan","301001","2024","4",NULL,"1159","2006116"
"uttar-pradesh","201318","2023","1",NULL,"1176","2003682"
"telangana","500032","2024","3",NULL,"1150","2001717"
"uttar-pradesh","201307","2024","1",NULL,"1220","2000668"
"telangana","500084","2024","2",NULL,"936","1993579"
"maharashtra","412105","2024","4",NULL,"1164","1992779"
"maharashtra","421302","2023","1",NULL,"1756","1982201"
"delhi","110041","2024","1",NULL,"1428","1979240"
"delhi","110043","2024","1",NULL,"1311","1978352"
"karnataka","560078","2022","1",NULL,"1671","1970551"
"delhi","110044","2023","4",NULL,"1693","1969968"
"uttar-pradesh","201307","2024","2",NULL,"1154","1966512"
"delhi","110043","2024","3",NULL,"1232","1958211"
"telangana","500084","2024","4",NULL,"1069","1957097"
"uttar-pradesh","247001","2024","4",NULL,"1005","1951734"
"maharashtra","411033","2022","4",NULL,"1465","1948300"
"haryana","123401","2024","2",NULL,"1312","1947044"
"rajasthan","302021","2024","4",NULL,"955","1946356"
"delhi","110085","2024","1",NULL,"1206","1936596"
"telangana","502032","2023","3",NULL,"1328","1935123"
"maharashtra","421301","2023","4",NULL,"1412","1934379"
"delhi","110042","2024","4",NULL,"1551","1933279"
"uttar-pradesh","250001","2023","2",NULL,"1181","1932802"
"uttar-pradesh","250001","2023","1",NULL,"1218","1930085"
"delhi","110044","2024","3",NULL,"1545","1929193"
"delhi","110092","2023","1",NULL,"1456","1925391"
"delhi","110092","2023","3",NULL,"1547","1919097"
"karnataka","560058","2022","3",NULL,"1610","1917287"
"haryana","122001","2022","3",NULL,"1932","1913882"
"uttar-pradesh","201301","2022","3",NULL,"1886","1908594"
"uttar-pradesh","201307","2024","4",NULL,"1189","1907288"
"haryana","121001","2024","4",NULL,"1349","1906209"
"karnataka","560068","2021","4",NULL,"1839","1905289"
"maharashtra","410501","2024","4",NULL,"1647","1900840"
"haryana","122006","2024","2",NULL,"1347","1900231"
"haryana","121004","2023","1",NULL,"1293","1897743"
"karnataka","560058","2023","2",NULL,"1581","1897452"
"delhi","110094","2024","3",NULL,"1498","1893888"
"haryana","124001","2024","4",NULL,"1070","1893128"
"madhya-pradesh","452016","2024","3",NULL,"930","1884758"
"tamil-nadu","600100","2024","1",NULL,"1372","1884618"
"maharashtra","411033","2023","1",NULL,"1324","1882866"
"delhi","110041","2023","4",NULL,"1578","1878694"
"maharashtra","421302","2023","2",NULL,"1426","1878446"
"karnataka","560100","2022","3",NULL,"1498","1875623"
"maharashtra","410206","2022","4",NULL,"1396","1875505"
"maharashtra","421302","2024","2",NULL,"1350","1874482"
"telangana","502032","2023","2",NULL,"1209","1868222"
"rajasthan","302012","2023","3",NULL,"1219","1860747"
"karnataka","560091","2022","3",NULL,"1561","1858018"
"madhya-pradesh","452010","2023","4",NULL,"1090","1854529"
"telangana","500081","2023","3",NULL,"1619","1854178"
"telangana","500008","2024","3",NULL,"947","1851813"
"haryana","124001","2024","3",NULL,"936","1851219"
"delhi","110086","2024","3",NULL,"1356","1850665"
"maharashtra","421302","2024","3",NULL,"1347","1846386"
"telangana","500081","2023","1",NULL,"1217","1843487"
"maharashtra","411014","2022","4",NULL,"1245","1836630"
"uttar-pradesh","201102","2023","4",NULL,"1360","1835764"
"maharashtra","412105","2024","2",NULL,"968","1835555"
"delhi","110086","2024","1",NULL,"1457","1834903"
"uttar-pradesh","201318","2022","4",NULL,"1255","1832913"
"delhi","110086","2023","4",NULL,"1573","1830984"
"maharashtra","411033","2023","2",NULL,"1373","1830790"
"bihar","800001","2024","1",NULL,"1347","1827045"
"haryana","123401","2024","3",NULL,"1270","1825757"
"delhi","110043","2024","2",NULL,"1111","1825163"
"uttar-pradesh","201102","2024","1",NULL,"1354","1821952"
"delhi","110086","2024","2",NULL,"1350","1820578"
"maharashtra","411014","2023","3",NULL,"1435","1820440"
"uttar-pradesh","201307","2024","3",NULL,"995","1815161"
"rajasthan","302013","2024","4",NULL,"1095","1812989"
"tamil-nadu","635109","2024","3",NULL,"1104","1812785"
"karnataka","560064","2022","3",NULL,"1475","1808634"
"telangana","500084","2023","4",NULL,"1107","1803387"
"maharashtra","421201","2023","4",NULL,"1435","1800835"
"karnataka","560058","2022","1",NULL,"1699","1800069"
"delhi","110086","2022","4",NULL,"1566","1797044"
"uttar-pradesh","244001","2023","4",NULL,"1146","1791969"
"telangana","500008","2024","2",NULL,"974","1791870"
"haryana","121003","2024","2",NULL,"1260","1789551"
"uttar-pradesh","250001","2022","4",NULL,"1125","1787166"
"delhi","110037","2024","3",NULL,"1103","1782688"
"telangana","500032","2023","3",NULL,"1435","1780152"
"uttar-pradesh","201009","2023","2",NULL,"1561","1779920"
"telangana","500081","2023","2",NULL,"1399","1778583"
"telangana","500049","2023","4",NULL,"1075","1778293"
"delhi","110085","2024","2",NULL,"1090","1774130"
"delhi","110042","2023","4",NULL,"1432","1769887"
"haryana","122006","2023","3",NULL,"1481","1766489"
"madhya-pradesh","452010","2024","1",NULL,"1051","1765762"
"haryana","121004","2023","3",NULL,"1446","1763459"
"delhi","110094","2023","4",NULL,"1459","1762226"
"tamil-nadu","600100","2023","4",NULL,"1258","1760781"
"delhi","110092","2023","2",NULL,"1328","1759406"
"rajasthan","302020","2024","1",NULL,"938","1758633"
"jharkhand","834001","2024","1",NULL,"1210","1755448"
"rajasthan","302029","2024","3",NULL,"1011","1754808"
"delhi","110053","2023","4",NULL,"1440","1753447"
"telangana","502032","2022","4",NULL,"1324","1750163"
"maharashtra","413002","2024","1",NULL,"1465","1750096"
"telangana","500084","2024","3",NULL,"918","1744947"
"haryana","121001","2023","4",NULL,"1315","1743232"
"telangana","500081","2022","4",NULL,"1303","1734951"
"maharashtra","411014","2023","1",NULL,"1154","1728681"
"delhi","110092","2022","4",NULL,"1456","1728566"
"telangana","500049","2023","3",NULL,"1228","1728277"
"madhya-pradesh","452010","2024","3",NULL,"980","1726929"
"rajasthan","302017","2024","3",NULL,"1024","1726505"
"rajasthan","302020","2023","4",NULL,"1001","1723313"
"maharashtra","421201","2024","1",NULL,"1282","1721708"
"delhi","110085","2023","1",NULL,"1199","1717697"
"telangana","500049","2024","2",NULL,"924","1713440"
"maharashtra","410206","2023","2",NULL,"1196","1712530"
"delhi","110042","2024","1",NULL,"1251","1711153"
"karnataka","560100","2022","2",NULL,"1389","1710571"
"tamil-nadu","600100","2024","2",NULL,"1265","1709825"
"haryana","124507","2023","4",NULL,"949","1709667"
"karnataka","560064","2022","1",NULL,"1288","1709573"
"telangana","500084","2023","3",NULL,"1204","1706834"
"uttar-pradesh","201102","2024","3",NULL,"1269","1704847"
"telangana","500090","2022","4",NULL,"1135","1702198"
"haryana","122006","2023","1",NULL,"1288","1701853"
"telangana","500090","2023","3",NULL,"1198","1699891"
"delhi","110094","2024","1",NULL,"1379","1698267"
"tamil-nadu","635109","2024","4",NULL,"1158","1697925"
"telangana","500050","2024","2",NULL,"973","1696839"
"haryana","121102","2024","1",NULL,"917","1696527"
"maharashtra","421302","2022","1",NULL,"1673","1688051"
"uttarakhand","248001","2023","4",NULL,"933","1682051"
"telangana","502032","2023","1",NULL,"1201","1680203"
"madhya-pradesh","452010","2024","2",NULL,"908","1675496"
"maharashtra","410501","2024","1",NULL,"1474","1672188"
"delhi","110059","2022","3",NULL,"1506","1670765"
"uttar-pradesh","201307","2023","1",NULL,"1134","1670126"
"delhi","110059","2022","1",NULL,"1416","1666849"
"rajasthan","313001","2024","4",NULL,"961","1666546"
"delhi","110044","2024","2",NULL,"1293","1663990"
"haryana","122002","2023","4",NULL,"1222","1660548"
"delhi","110085","2022","4",NULL,"1292","1658187"
"tamil-nadu","641602","2022","4",NULL,"1510","1658165"
"telangana","500050","2024","1",NULL,"1062","1654271"
"haryana","121102","2023","4",NULL,"908","1654000"
"rajasthan","302020","2024","2",NULL,"918","1653873"
"haryana","121001","2024","1",NULL,"1212","1653002"
"maharashtra","421301","2022","4",NULL,"1362","1650860"
"haryana","124001","2024","2",NULL,"819","1648092"
"rajasthan","302012","2023","1",NULL,"1011","1646784"
"uttar-pradesh","247001","2024","2",NULL,"816","1646250"
"jharkhand","834001","2023","4",NULL,"1142","1641382"
"jharkhand","834001","2024","2",NULL,"1154","1637077"
"maharashtra","421301","2024","1",NULL,"1267","1635718"
"karnataka","560079","2022","3",NULL,"1371","1635418"
"haryana","121004","2022","4",NULL,"1268","1632199"
"haryana","122006","2022","4",NULL,"1296","1631296"
"delhi","110053","2024","1",NULL,"1324","1630415"
"telangana","500072","2022","1",NULL,"1197","1628490"
"telangana","500055","2024","4",NULL,"1211","1625928"
"uttar-pradesh","201307","2023","2",NULL,"1111","1623870"
"maharashtra","401208","2024","4",NULL,"1311","1623101"
"haryana","122006","2023","2",NULL,"1252","1621105"
"maharashtra","411057","2022","3",NULL,"1327","1617600"
"delhi","110086","2023","1",NULL,"1318","1617466"
"rajasthan","302012","2022","4",NULL,"1201","1616414"
"uttar-pradesh","201003","2024","1",NULL,"913","1615253"
"delhi","110041","2024","2",NULL,"1175","1614578"
"telangana","500049","2024","1",NULL,"1071","1613015"
"haryana","124507","2024","1",NULL,"1018","1611721"
"telangana","500008","2023","2",NULL,"987","1610214"
"telangana","500090","2023","2",NULL,"1109","1607125"
"uttar-pradesh","247001","2024","3",NULL,"799","1604933"
"delhi","110059","2021","4",NULL,"1509","1603319"
"uttar-pradesh","201307","2023","3",NULL,"1237","1600941"
"delhi","110042","2024","2",NULL,"1126","1600511"
"telangana","500050","2022","4",NULL,"1239","1597223"
"karnataka","560037","2022","1",NULL,"1259","1593673"
"delhi","110041","2024","3",NULL,"1212","1593328"
"telangana","500090","2023","1",NULL,"993","1591989"
"uttarakhand","263139","2024","4",NULL,"904","1582091"
"maharashtra","412105","2024","3",NULL,"864","1580941"
"maharashtra","411033","2023","3",NULL,"1273","1580213"
"uttar-pradesh","201102","2024","2",NULL,"1112","1579338"
"maharashtra","400701","2024","4",NULL,"1216","1576605"
"madhya-pradesh","455001","2024","4",NULL,"961","1567609"
"telangana","500032","2023","2",NULL,"1157","1566779"
"karnataka","560091","2022","2",NULL,"1405","1565112"
"telangana","500039","2024","4",NULL,"1009","1565069"
"maharashtra","421201","2022","4",NULL,"1328","1563962"
"haryana","121003","2023","2",NULL,"1129","1557262"
"haryana","123401","2023","1",NULL,"930","1556937"
"delhi","110041","2023","3",NULL,"1260","1555617"
"karnataka","560100","2022","1",NULL,"1255","1555109"
"bihar","800001","2022","4",NULL,"1363","1554670"
"maharashtra","410206","2023","3",NULL,"1151","1553050"
"rajasthan","302021","2024","3",NULL,"953","1552183"
"delhi","110094","2023","1",NULL,"1144","1551284"
"punjab","143001","2023","2",NULL,"1098","1550651"
"telangana","500049","2023","2",NULL,"1127","1548898"
"madhya-pradesh","452016","2024","2",NULL,"740","1546722"
"uttar-pradesh","201102","2023","1",NULL,"1180","1543461"
"haryana","124507","2024","2",NULL,"882","1541899"
"jharkhand","834001","2023","3",NULL,"1290","1541368"
"chhattisgarh","492001","2024","2",NULL,"849","1537874"
"telangana","500032","2023","1",NULL,"1105","1537297"
"delhi","110041","2022","4",NULL,"1387","1536997"
"uttarakhand","248001","2024","2",NULL,"841","1536956"
"maharashtra","421201","2023","1",NULL,"1283","1536250"
"delhi","110085","2023","3",NULL,"1174","1535818"
"karnataka","560079","2022","1",NULL,"1358","1534187"
"haryana","123401","2023","3",NULL,"1058","1533525"
"uttar-pradesh","201307","2022","4",NULL,"1127","1532016"
"haryana","122003","2024","2",NULL,"877","1531295"
"delhi","110094","2022","4",NULL,"1234","1526454"
"chhattisgarh","492001","2024","1",NULL,"974","1525992"
"haryana","121102","2024","3",NULL,"888","1523600"
"haryana","124507","2024","4",NULL,"1017","1521988"
"rajasthan","332001","2024","4",NULL,"849","1521930"
"delhi","110041","2023","1",NULL,"1193","1521401"
"karnataka","560103","2022","2",NULL,"1242","1520408"
"chhattisgarh","495001","2024","4",NULL,"871","1517673"
"telangana","500008","2022","4",NULL,"1082","1517560"
"telangana","500018","2024","1",NULL,"1023","1517021"
"telangana","500039","2024","3",NULL,"910","1516242"
"rajasthan","301001","2024","3",NULL,"973","1516137"
"uttarakhand","248001","2024","1",NULL,"1010","1513101"
"haryana","121004","2023","2",NULL,"1256","1512572"
"delhi","110085","2023","2",NULL,"1115","1511331"
