"state","year","total_transactions","total_amount"
"chhattisgarh",2019,"45826483","76493959978.818736"
"chhattisgarh",2020,"98023091","168870698969.739650"
"chhattisgarh",2021,"233081289","389143833302.36574"
"chhattisgarh",2022,"550210373","811709461511.07465"
"chhattisgarh",2023,"1070049582","1388610497284.0"
"chhattisgarh",2024,"1722519895","2033511820703.0"
"dadra & nagar haveli & daman & diu",2018,"1044832","1584119368.24443152"
"dadra & nagar haveli & daman & diu",2019,"2559192","3855923788.4743836"
"dadra & nagar haveli & daman & diu",2020,"4807834","7095440039.0084390"
"dadra & nagar haveli & daman & diu",2021,"11336882","15995079861.7345848"
"dadra & nagar haveli & daman & diu",2022,"24217780","28812496253.653801"
"dadra & nagar haveli & daman & diu",2023,"58833801","59018755818.0"
"dadra & nagar haveli & daman & diu",2024,"98418094","85358042063.0"
"delhi",2018,"64231244","95756508188.450058"
"delhi",2019,"254461712","372397227324.47369"
"delhi",2020,"364821900","632919032875.12505"
"delhi",2021,"858960235","1421423073338.70545"
"delhi",2022,"1732429663","2589348234429.1965"
"delhi",2023,"2036749830","2780980596024.0"
"delhi",2024,"3183662063","3744695576784.0"
"goa",2018,"1244738","2648632615.86233822"
"goa",2019,"4114941","7991018040.6604988"
"goa",2020,"9080241","15862123990.4651230"
"goa",2021,"27598206","46875779174.903447"
"goa",2022,"56811513","87188734809.411845"
"goa",2023,"111186366","155172024249.0"
"goa",2024,"154908440","195282848527.0"
"gujarat",2018,"39761960","62438058555.732860"
"gujarat",2019,"134749574","221330052546.92751"
"gujarat",2020,"231865328","427697735578.54277"
"gujarat",2021,"538851693","1008870041432.78019"
"gujarat",2022,"1106995692","1904701900776.36300"
"gujarat",2023,"1792853047","2746057632855.0"
"gujarat",2024,"2881788040","3821810401380.0"
"haryana",2018,"31843908","59879940980.860180"
"haryana",2019,"113047107","198402034603.387957"
"haryana",2020,"226926755","432253934294.45715"
"haryana",2021,"506080308","919363346880.78137"
"haryana",2022,"992698746","1655083232360.40711"
"haryana",2023,"1895122365","2712655217712.0"
"haryana",2024,"2979181935","3667398855984.0"
"himachal pradesh",2018,"3364250","6187247508.7207416"
"himachal pradesh",2019,"10922850","21100547734.973126"
"himachal pradesh",2020,"21602414","39961478636.566718"
"himachal pradesh",2021,"43828962","78062664021.050890"
"himachal pradesh",2022,"91099555","139387681319.089331"
"himachal pradesh",2023,"134352214","174750829653.0"
"himachal pradesh",2024,"195640309","228086909873.0"
"jammu & kashmir",2018,"7763165","13255998740.9141329"
"jammu & kashmir",2019,"7487796","17725904167.6895479"
"jammu & kashmir",2020,"12776978","38561427680.043260"
"jammu & kashmir",2021,"46967058","110476786395.547112"
"jammu & kashmir",2022,"89909610","164681004880.537209"
"jammu & kashmir",2023,"226586254","311538043147.0"
"jammu & kashmir",2024,"429111874","528444012561.0"
"jharkhand",2018,"19737665","25999250107.809105"
"jharkhand",2019,"51985184","81863660124.861348"
"jharkhand",2020,"104924330","194525224779.248461"
"jharkhand",2021,"265428552","476090130557.15469"
"jharkhand",2022,"565951909","927721056427.84426"
"jharkhand",2023,"1222467784","1706690592474.0"
"jharkhand",2024,"2035925535","2493756201190.0"
"karnataka",2018,"99925678","173966953727.177032"
"karnataka",2019,"610519200","791262270257.25514"
"karnataka",2020,"1216153117","1803284146281.23995"
"karnataka",2021,"2739468515","4101588572149.9219"
"karnataka",2022,"4903976066","7004230457883.6690"
"karnataka",2023,"8846261181","11475083645117.0"
"karnataka",2024,"12554642522","15329305728250.0"
"kerala",2018,"11524547","19359984557.230929"
"kerala",2019,"35537598","60847539055.904932"
"kerala",2020,"87068356","149264570608.499718"
"kerala",2021,"234359382","368516075314.54400"
"kerala",2022,"453969659","630505499928.95944"
"kerala",2023,"654293926","846751695456.0"
"kerala",2024,"824144332","1001023799208.0"
"ladakh",2018,"81174","279481579.946339783"
"ladakh",2019,"292019","1067934315.16848560"
"ladakh",2020,"831785","2848883646.6639183"
"ladakh",2021,"1896305","6778198791.4320537"
"ladakh",2022,"4022318","12068036019.8913254"
"ladakh",2023,"11282645","26233684372.0"
"ladakh",2024,"20939629","39718403375.0"
"lakshadweep",2018,"6255","16918666.7304869578"
"lakshadweep",2019,"12276","38950329.485020205"
"lakshadweep",2020,"32610","81863441.886185814"
"lakshadweep",2021,"49309","144227595.799181846"
"lakshadweep",2022,"66354","213262917.876272255"
"lakshadweep",2023,"171674","397667843.0"
"lakshadweep",2024,"545516","716429990.0"
"madhya pradesh",2018,"57111347","82661034747.765337"
"madhya pradesh",2019,"199889462","298769094184.69839"
"madhya pradesh",2020,"417939741","764636116482.16620"
"madhya pradesh",2021,"1141064596","1930334818673.9105"
"madhya pradesh",2022,"2647690714","3950598228726.0494"
"madhya pradesh",2023,"3663711236","4928792428345.0"
"madhya pradesh",2024,"5944768963","7169487711867.0"
"maharashtra",2018,"116301535","189848425279.926154"
"maharashtra",2019,"526225123","737327096552.90704"
"maharashtra",2020,"1099666770","1678817323722.21904"
"maharashtra",2021,"2895082288","4319618186072.7052"
"maharashtra",2022,"5752204240","7845721683148.8058"
"maharashtra",2023,"8774827659","10818477631726.0"
"maharashtra",2024,"12820901117","14784385341469.0"
"manipur",2018,"661158","1370270699.34983739"
"manipur",2019,"1317186","3447137687.2251545"
"manipur",2020,"4949889","16015727273.0117247"
"manipur",2021,"14018645","38025448543.992650"
"manipur",2022,"24200723","60074798679.164414"
"manipur",2023,"7843332","23458052644.0"
"manipur",2024,"20359407","43874199503.0"
"meghalaya",2018,"388850","730694268.17079923"
"meghalaya",2019,"1113558","2246623525.20446585"
"meghalaya",2020,"2489265","5315171568.8282066"
"meghalaya",2021,"4195164","10866898384.5945547"
"meghalaya",2022,"12011012","28543671706.686916"
"meghalaya",2023,"22540143","46449038873.0"
"meghalaya",2024,"45897427","68391802881.0"
"mizoram",2018,"140170","435763216.188444966"
"mizoram",2019,"369310","1113660854.11824725"
"mizoram",2020,"929381","2543737303.9905142"
"mizoram",2021,"1755773","5468394451.9830212"
"mizoram",2022,"2601706","7932522228.0511551"
"mizoram",2023,"5072666","12794399833.0"
"mizoram",2024,"8666744","15813625523.0"
"nagaland",2018,"342148","861137679.44870401"
"nagaland",2019,"936380","2447502004.63302474"
"nagaland",2020,"2479761","6815188546.7996700"
"nagaland",2021,"5094963","15190245080.536950"
"nagaland",2022,"8327599","23619603937.280904"
"nagaland",2023,"12827081","34126672259.0"
"nagaland",2024,"24760811","47298242248.0"
"odisha",2018,"65162918","59640327897.652853"
"odisha",2019,"169961871","217255933793.640060"
"odisha",2020,"262069662","484456441630.35205"
"odisha",2021,"654572735","1148293622288.56152"
"odisha",2022,"1409487166","2178024945984.32655"
"odisha",2023,"2382028996","3372391235528.0"
"odisha",2024,"3975244104","4803919544410.0"
"puducherry",2018,"732708","1494976831.81997448"
"puducherry",2019,"2810650","5510656609.7686393"
"puducherry",2020,"6688209","12693914904.6729802"
"puducherry",2021,"18551355","31551770500.532526"
"puducherry",2022,"30601717","47858742749.470987"
"puducherry",2023,"46640425","63078124152.0"
"puducherry",2024,"60580233","75128888656.0"
"punjab",2018,"12800841","25313100054.332322"
"punjab",2019,"40087404","85084901248.662060"
"punjab",2020,"69506576","155557338145.480428"
"punjab",2021,"153834932","324924632736.334415"
"punjab",2022,"306044202","573162274659.48383"
"punjab",2023,"488591286","806055297216.0"
"punjab",2024,"701547256","1012980265867.0"
"rajasthan",2018,"52782208","86435235061.038274"
"rajasthan",2019,"246343185","422169171829.82668"
"rajasthan",2020,"543585579","1063784597563.23857"
"rajasthan",2021,"1428114308","2667641093913.62224"
"rajasthan",2022,"2859248578","4870329655297.3485"
"rajasthan",2023,"4581260345","7119974013567.0"
"rajasthan",2024,"7397203695","10112901799027.0"
"sikkim",2018,"381689","826565609.50173547"
"sikkim",2019,"1948037","3258113927.9166825"
"sikkim",2020,"2377319","5428297593.9889876"
"sikkim",2021,"4521842","11828687431.9602274"
"sikkim",2022,"9521480","21599802879.481823"
"sikkim",2023,"17471356","32040764350.0"
"sikkim",2024,"29639119","43963170148.0"
"tamil nadu",2018,"54950272","104019568190.859579"
"tamil nadu",2019,"162453376","302562182998.056305"
"tamil nadu",2020,"300281109","562710808075.92610"
"tamil nadu",2021,"746228496","1321086760548.92084"
"tamil nadu",2022,"1478892898","2410492817243.65237"
"tamil nadu",2023,"2109208414","3197922154236.0"
"tamil nadu",2024,"2944371472","4037424731355.0"
"telangana",2018,"67541293","117864587293.967982"
"telangana",2019,"439968715","733876491896.26393"
"telangana",2020,"931480581","1895187203703.46317"
"telangana",2021,"2307316195","4469364912637.3325"
"telangana",2022,"5397508175","9306631143014.3064"
"telangana",2023,"7001630531","11057352045130.0"
"telangana",2024,"10029239102","14075679246401.0"
"tripura",2018,"1188478","1453619620.75179737"
"tripura",2019,"2627025","3831494007.5386090"
"tripura",2020,"4946797","8881905202.4116558"
"tripura",2021,"7857745","16664559163.310611"
"tripura",2022,"15744623","32226925429.4503625"
"tripura",2023,"34297902","59276533097.0"
"tripura",2024,"54175926","78248371899.0"
"uttar pradesh",2018,"92864871","131769030564.078881"
"uttar pradesh",2019,"271736968","432248763487.02934"
"uttar pradesh",2020,"503663873","957279233292.31355"
"uttar pradesh",2021,"1159149994","2209431888096.03943"
"uttar pradesh",2022,"2609210165","4448387209505.2086"
"uttar pradesh",2023,"5135296152","7592747865556.0"
"uttar pradesh",2024,"8751681704","11113348194399.0"
"uttarakhand",2018,"8358700","13569145914.8973211"
"uttarakhand",2019,"23431868","38074800401.3605395"
"uttarakhand",2020,"47611760","86148518258.205050"
"uttarakhand",2021,"116012398","193954612217.723685"
"uttarakhand",2022,"244708049","367429460295.13010"
"uttarakhand",2023,"406500016","518098625366.0"
"uttarakhand",2024,"612214506","699213409561.0"
"west bengal",2018,"120011635","111588715417.226393"
"west bengal",2019,"257900590","266014506614.47281"
"west bengal",2020,"304222327","552731584289.08327"
"west bengal",2021,"666894037","1347047122052.6842"
"west bengal",2022,"1338887218","2692527375013.1849"
"west bengal",2023,"2374642459","4227141871987.0"
"west bengal",2024,"4128941421","6387113134040.0"
